,name,lmxb,lmxc,rmxb,rmxc,rb_l,rb_r,sky,minpixarea,GF,CC,CP,PAI
2019-05-09 14:00:02,WSCT0030.JPG,12,145168,216,102727,196,60,0.5029909514896993,0.31216408169533166,0.459047293031668,0.6987825894075894,0.22586407393616048,1.5994831419104403
2019-05-09 15:00:00,WSCT0031.JPG,20,149923,224,135542,204,68,0.5097052757111646,0.3375978961916462,0.449904716506279,0.6929749351624351,0.20618300088331887,1.6833866004738642
2019-05-09 16:00:02,WSCT0032.JPG,8,171560,220,119969,196,64,0.5104684384237378,0.30792511261261263,0.4113932824870325,0.7346514660967787,0.19879460577374275,1.8258723721138503
2019-05-09 17:00:02,WSCT0033.JPG,8,170287,204,68359,188,60,0.4994119442220334,0.2908359353671854,0.4192273772351897,0.7231449311527436,0.19687935606626172,1.8080449426657776
2019-05-10 07:00:02,WSCT0035.JPG,16,172667,212,81052,192,60,0.5242207812895394,0.32658724064974065,0.3936293360121485,0.7486488619301119,0.19004663625006946,1.9124935256749185
2019-05-10 08:00:02,WSCT0036.JPG,16,160361,224,128228,208,64,0.5118381728436942,0.28574384043134043,0.40893681323368825,0.7322981717512967,0.19286540706119804,1.8541369550916453
2019-05-10 09:00:02,WSCT0037.JPG,16,169771,224,114860,204,60,0.509593940669976,0.31131095584220586,0.41468234925266173,0.7279624262046137,0.1959507391074896,1.8253848030421687
2019-05-10 10:00:02,WSCT0038.JPG,16,187382,216,89017,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-10 11:00:00,WSCT0039.JPG,16,192474,212,91544,192,60,0.5155109724809479,0.3232280576030576,0.3892890582343707,0.7584808707855583,0.19482354099040577,1.9086424862680804
2019-05-10 12:00:02,WSCT0040.JPG,20,100725,120,134048,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-10 13:00:02,WSCT0041.JPG,28,139714,224,85496,200,80,0.5099080717500729,0.30680538493038495,0.34952432901651653,0.7938703973860224,0.1806273755447928,2.090100844434584
2019-05-10 14:00:02,WSCT0042.JPG,12,214865,232,75648,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2019-05-10 15:00:02,WSCT0043.JPG,16,171507,204,43586,192,72,0.546635444236055,0.2911558575621076,0.25021008224133223,0.8783818442021567,0.1463963847753369,2.5965472342518794
2019-05-10 16:00:00,WSCT0044.JPG,8,204456,236,25999,224,68,0.5995463055630569,0.2929420898170898,0.202758422484985,0.9096832983551734,0.12360534819477031,2.9259074107105514
2019-05-10 17:00:02,WSCT0045.JPG,8,235729,240,40542,228,56,0.5017325286707692,0.30893819956319957,0.2810580466830467,0.8211933524433525,0.12451561964324676,2.632018325739136
2019-05-11 09:00:02,WSCT0049.JPG,8,224727,204,18971,196,56,0.7541779160996103,0.29235556579306576,0.13359470976658477,0.9310194427381927,0.0694015071422599,3.8212571434625446
2019-05-11 10:00:02,WSCT0050.JPG,32,215386,192,26059,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
